adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/y5Z0WesTjvn59jP6yo459eUsbli.jpg,"27, 53",663712,en,Terrifier 2,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",7866.782,/b6IRp6Pl2Fsq37r9jFhGoLtaqHm.jpg,2022-10-06,Terrifier 2,False,7.1,445
False,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,"28, 14, 878",436270,en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",4428.609,/3zXceNTtyj5FLjwQXuPvLYK5YYL.jpg,2022-10-19,Black Adam,False,6.9,905
False,/pGx6O6IwqADOsgmqWzPysmWnOyr.jpg,"28, 14",732459,en,Blade of the 47 Ronin,"In this sequel to ""47 Ronin,"" a new class of warriors emerges among the Samurai clans to keep a sought-after sword from falling into the wrong hands.",3821.739,/kjFDIlUCJkcpFxYKtE6OsGcAfQQ.jpg,2022-10-25,Blade of the 47 Ronin,False,6.7,47
False,/naNXYdBzTEb1KwOdi1RbBkM9Zv1.jpg,"27, 53",420634,en,Terrifier,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",3031.419,/6PQqC4SbY910VvyVad6mvsboILU.jpg,2016-10-15,Terrifier,False,6.6,889
False,/tIX6j3NzadlwGcJ52nuWdmtOQkg.jpg,"27, 53, 9648",717728,en,Jeepers Creepers: Reborn,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",2184.802,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg,2022-09-15,Jeepers Creepers: Reborn,False,5.7,430
False,/1DBDwevWS8OhiT3wqqlW7KGPd6m.jpg,53,985939,en,Fall,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",2350.808,/spCAxD99U1A6jsiePFoqdEcY0dG.jpg,2022-08-11,Fall,False,7.3,1650
False,/iS9U3VHpPEjTWnwmW56CrBlpgLj.jpg,"14, 35, 10751",642885,en,Hocus Pocus 2,"29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.",1959.906,/7ze7YNmUaX81ufctGqt0AgHxRtL.jpg,2022-09-27,Hocus Pocus 2,False,7.6,1036
False,/bJa3RcFKgtVKJqTJCSSuBQeP9c8.jpg,27,86328,en,Terrifier,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",1969.59,/gb6rq2nD0jRrN0dCzigg2MxXNsB.jpg,2011-08-09,Terrifier,False,6.5,42
False,/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg,"27, 53",760161,en,Orphan: First Kill,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",2009.304,/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg,2022-07-27,Orphan: First Kill,False,6.8,1243
False,/etP5jwlwvkNhwe7jnI2AyA6ZKrR.jpg,878,575322,en,Звёздный разум,"After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait.",1881.821,/rFljUdOozFEv6HDHIFpFvcYW0ec.jpg,2022-01-06,Project Gemini,False,5.6,153
False,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,"10751, 16, 14, 10402, 35, 12",354912,en,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",1298.384,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,2017-10-27,Coco,False,8.2,16442
False,/zt6sKnx9dEiRCb7oVMlfmmMGJMO.jpg,"28, 35, 53",718930,en,Bullet Train,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",1641.214,/tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg,2022-07-03,Bullet Train,False,7.5,2208
False,/nnUQqlVZeEGuCRx8SaoCU4XVHJN.jpg,"14, 12, 10751",532639,en,Pinocchio,A wooden puppet embarks on a thrilling adventure to become a real boy.,1605.793,/g8sclIV4gj1TZqUpnL82hKOTK3B.jpg,2022-09-07,Pinocchio,False,6.7,1025
False,/tSxbUnrnWlR5dQvUgqMI7sACmFD.jpg,"14, 28, 18",779782,en,The School for Good and Evil,Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.,1489.276,/6oZeEu1GDILdwezmZ5e2xWISf1C.jpg,2022-10-19,The School for Good and Evil,False,7.3,502
